ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,date
3,1003.4,1013.4,21.3,15.4,69,1,140,2.3,140,0,0,...,0,...,0,...,2020/3/30
4,1003.4,1013.4,20.2,15.1,72,0.2,0,2.7,130,0,0,...,0,...,0,...,2020/3/30
5,1003.3,1013.3,20.9,15.5,71,0.1,0,2.3,250,0,0,...,0,12,0,6,2020/3/30
6,1003.4,1013.4,21.1,15.9,72,1.1,230,2.2,240,0,0,0,0,...,0,...,2020/3/30
7,1004,1014,21.5,16.3,72,0.3,280,2.7,260,0,0,0,0,...,0,...,2020/3/30
8,1005,1015,22.2,16.4,70,1.6,310,4.7,340,0,0,0,0.15,10,0,10,2020/3/30
9,1004.4,1014.3,23,17.1,69,0.9,10,4,350,0,0,0.1,0.59,10,1,8,2020/3/30
10,1004.2,1014.1,24.8,17.8,65,0.8,260,2.8,220,0,0,0.4,1.39,...,2,...,2020/3/30
11,1004.1,1013.9,25.9,18.9,65,1.8,320,5.5,340,0,0,0.8,2.18,10,4,7,2020/3/30
12,1003.2,1013.1,22.8,17.3,71,1.8,340,4.8,330,0,0,0,0.6,...,1,...,2020/3/30
13,1002.6,1012.5,22.8,17.2,71,1.7,360,4.8,330,0,0,0,0.76,...,2,...,2020/3/30
14,1002.2,1012.1,24.1,18,69,2.4,360,6.5,350,0,0,0.1,1.21,15,3,9,2020/3/30
15,1001.8,1011.7,23.4,17.2,68,2.5,340,5.7,330,0,0,0.2,0.97,...,2,...,2020/3/30
16,1001.9,1011.8,22.7,16.9,70,1.4,340,6.6,330,0,0,0,0.24,...,1,...,2020/3/30
17,1002.2,1012.1,22,17.2,74,0.8,310,4.5,290,T,0.2,0,0,10,0,10,2020/3/30
18,1002.6,1012.5,22.2,17.3,74,1.2,300,4.3,310,0,0,0,0,...,0,...,2020/3/30
19,1002.8,1012.8,21.8,17.2,75,1.2,340,4.1,310,T,0.1,0,0,...,0,...,2020/3/30
20,1003,1013,21.8,17.5,77,0.6,300,4,350,T,0.1,...,0,10,0,8,2020/3/30
21,1003.5,1013.5,21.4,17.1,76,0.4,290,2.7,300,0,0,...,0,10,0,8,2020/3/30
22,1004.1,1014.1,21.1,16.8,76,1.5,310,3.4,300,0,0,...,0,...,0,...,2020/3/30
23,1003.8,1013.8,20.7,16.5,77,0.3,280,3.4,350,0,0,...,0,10,0,4,2020/3/30
24,1003.8,1013.8,20.7,16.5,77,0.7,330,2.8,350,0,0,...,0,...,0,...,2020/3/30
1,1003.7,1013.7,20.6,16.5,77,0.7,310,2.6,300,0,0,...,0,...,0,...,2020/3/31
2,1003.2,1013.2,20.7,16.6,77,0.1,0,1.8,300,0,0,...,0,10,0,4,2020/3/31
3,1003.1,1013.1,20.6,16.4,77,0.8,330,2.2,250,0,0,...,0,...,0,...,2020/3/31
4,1003.2,1013.2,20.9,16.7,77,0.5,280,1.7,340,0,0,...,0,...,0,...,2020/3/31
5,1003.4,1013.4,21,16.8,77,0.1,0,1.6,330,0,0,...,0,12,0,8,2020/3/31
6,1003.9,1013.9,20.5,16.3,77,0.4,360,2.2,320,0,0,0,0,...,0,...,2020/3/31
7,1004.5,1014.5,20.9,16.7,77,0.9,240,1.9,360,0,0,0,0,...,0,...,2020/3/31
8,1005,1015,21.9,17.3,75,0.6,40,2.6,340,0,0,0,0.46,10,0,6,2020/3/31
9,1004.9,1014.8,23.6,18.4,73,0.1,0,1.8,10,0,0,0.1,0.87,10,1,6,2020/3/31
10,1004.1,1013.9,25.9,19.5,68,1.9,180,3.3,150,0,0,0.4,1.56,...,3,...,2020/3/31
11,1001.9,1011.6,29.6,19.6,55,2.9,150,6.9,140,0,0,1,2.72,10,5,6,2020/3/31
12,1003.1,1012.9,27.3,19.9,64,3,310,9,320,0,0,1,2.91,...,6,...,2020/3/31
13,1002.9,1012.7,27.3,19.7,63,2.2,330,7.6,330,0,0,1,2.99,...,6,...,2020/3/31
14,1002,1011.8,27.2,19.9,64,0.9,310,5.3,340,0,0,0.4,2.1,10,4,9,2020/3/31
15,1001,1010.8,27.6,19.7,62,1.2,180,3.4,210,0,0,0.4,1.79,...,3,...,2020/3/31
16,1000.7,1010.5,27.2,19.6,63,1.7,200,5,230,0,0,0.1,1.1,...,1,...,2020/3/31
17,1001.1,1010.9,26.6,19.2,64,1.8,200,5.1,160,0,0,0,0.33,10,0,10,2020/3/31
18,1001.7,1011.5,25.9,19.2,67,1.3,190,4,190,0,0,0,0,...,0,...,2020/3/31
19,1002.6,1012.5,24.2,18.5,71,1.8,340,3.5,350,0,0,0,0,...,0,...,2020/3/31
20,1002.7,1012.6,24.2,18.6,71,0,0,2,360,0,0,...,0,10,0,8,2020/3/31
21,1003.2,1013.1,24.3,18.7,71,0.8,200,1.7,180,0,0,...,0,10,0,6,2020/3/31
22,1004.1,1014,23.9,18.8,73,1.4,220,3.1,220,0,0,...,0,...,0,...,2020/3/31
23,1004,1013.9,22.9,18.4,76,1.1,30,2.8,20,0,0,...,0,10,0,8,2020/3/31
24,1003.9,1013.9,21.8,17.9,79,1.7,340,3.7,340,0,0,...,0,...,0,...,2020/3/31
1,1003.8,1013.8,21.3,17.5,79,1.3,330,4.9,340,0,0,...,0,...,0,...,2020/4/1
2,1003.5,1013.5,21.2,17.3,78,0.7,30,4.6,320,T,0.1,...,0,3,0,10,2020/4/1
3,1003.3,1013.3,21,17.5,80,2,350,4.5,20,T,0.1,...,0,...,0,...,2020/4/1
4,1003.9,1013.9,20.8,17.3,80,1.1,350,4.9,300,0,0,...,0,...,0,...,2020/4/1
5,1004.2,1014.2,20.9,17.6,81,0.3,200,3.6,360,0,0,...,0,10,0,10,2020/4/1
6,1005.2,1015.2,20.8,16.9,78,1.7,340,5.1,340,0,0,0,0,...,0,...,2020/4/1
7,1005.7,1015.7,20.7,16.7,78,1.2,310,5.7,330,0,0,0,0,...,0,...,2020/4/1
8,1006.1,1016.1,21.9,17.2,75,1.2,350,4.3,350,0,0,0,0.3,12,0,9,2020/4/1
9,1006.3,1016.2,23.7,17.8,70,1.8,330,4.1,300,0,0,0.3,1.14,15,1,7,2020/4/1
10,1006.3,1016.2,24.6,17.8,66,1.7,330,6.3,360,0,0,0.6,1.92,...,3,...,2020/4/1
11,1005.7,1015.6,25.9,18.2,63,3.1,340,7,360,0,0,1,2.71,20,5,0,2020/4/1
12,1005.4,1015.3,25,17.2,62,4.6,350,9.6,340,0,0,1,2.96,...,6,...,2020/4/1
13,1004.7,1014.6,25,16.6,60,3.1,330,9.8,340,0,0,0.8,2.61,...,5,...,2020/4/1
14,1003.2,1013,25.6,17,59,2.5,340,8.8,340,0,0,0.9,2.57,20,5,0,2020/4/1
15,1002.4,1012.3,24.7,16.3,60,3.6,350,7.8,310,0,0,1,2.19,...,3,...,2020/4/1
16,1002.4,1012.3,23.8,15.5,60,3.2,360,8.3,360,0,0,1,1.56,...,2,...,2020/4/1
17,1003,1013,22.2,14.2,60,2.9,340,7.7,350,0,0,1,0.77,20,1,0,2020/4/1
18,1003.6,1013.6,20.9,13.6,63,2.1,350,6.8,350,0,0,0.2,0.12,...,0,...,2020/4/1
19,1004.5,1014.5,20,13.1,64,2.5,350,7.3,320,0,0,0,0,...,0,...,2020/4/1
20,1005.4,1015.5,19.6,12.8,65,1.8,330,6.8,350,0,0,...,0,15,0,10,2020/4/1
21,1006.4,1016.5,19.2,12.6,66,2,340,5.8,20,0,0,...,0,15,0,10,2020/4/1
22,1007,1017.1,19,12.5,66,1.3,320,5.6,310,0,0,...,0,...,0,...,2020/4/1
23,1006.9,1017,19,12.5,66,1.6,340,4.8,330,0,0,...,0,15,0,10,2020/4/1
24,1007.1,1017.2,18.7,12.4,67,1.5,310,4.3,350,0,0,...,0,...,0,...,2020/4/1
1,1006.1,1016.2,19,12.6,66,0.3,350,4.4,330,0,0,...,0,...,0,...,2020/4/2
2,1005.6,1015.7,18.9,12.7,67,1.2,330,3.4,320,0,0,...,0,15,0,10,2020/4/2
3,1005.5,1015.6,19,12.8,67,1.2,320,3.1,260,0,0,...,0,...,0,...,2020/4/2
4,1006.4,1016.5,18,12.2,69,3.7,360,8.2,10,0,0,...,0,...,0,...,2020/4/2
5,1006.3,1016.4,19,12.8,67,1.5,30,7.1,360,0,0,...,0,15,0,10,2020/4/2
6,1008.3,1018.4,19.8,13.4,67,1.6,20,7.3,20,1,0.1,0,0,...,0,...,2020/4/2
7,1008.9,1019,18.4,15,81,0.5,150,3.8,350,10.5,1,0,0,...,0,...,2020/4/2
8,1009.6,1019.7,19.1,15.5,80,1.4,20,5.1,360,3.5,1,0,0,8,0,10,2020/4/2
9,1010,1020.1,19,15.7,81,2,200,4.3,220,0.5,0.7,0,0.25,10,0,10,2020/4/2
10,1010.6,1020.7,19.1,15.8,81,0.3,,3.2,240,0.5,0.9,0,0.13,...,0,...,2020/4/2
11,1009.2,1019.2,21.5,18.1,81,1.3,210,3.2,200,0.5,0.6,0.1,1.24,10,3,9,2020/4/2
12,1008,1018,23.1,18.3,74,0.6,220,3.4,250,0,0,0.3,2.06,...,5,...,2020/4/2
13,1006.2,1016.1,25.1,18.6,67,1.2,330,4.5,340,0,0,0.7,2.75,...,6,...,2020/4/2
14,1005.7,1015.7,22.5,16.9,71,2.1,350,6.1,10,0,0,0,0.9,15,2,10,2020/4/2
15,1006,1015.9,23.5,17.3,68,2.9,350,8.3,350,0,0,0.7,1.91,...,3,...,2020/4/2
16,1005.8,1015.8,23,16.4,66,2.7,360,9.1,360,0,0,0.4,1.24,...,1,...,2020/4/2
17,1006.9,1016.9,21.7,16.2,71,2,350,7.7,350,0,0,0,0.29,12,0,10,2020/4/2
18,1008,1018,21.3,15.9,71,1.8,360,8.4,20,0,0,0,0,...,0,...,2020/4/2
19,1008.2,1018.2,21,15.9,73,0.7,40,8.2,10,0,0,0,0,...,0,...,2020/4/2
20,1007.9,1017.9,21.2,16,72,0.1,0,2.7,60,0,0,...,0,12,0,9,2020/4/2
21,1008.4,1018.4,21.4,16,71,1.4,240,2.7,270,0,0,...,0,12,0,7,2020/4/2
22,1008.7,1018.8,20.3,15.7,75,1.1,330,4.1,310,T,0.3,...,0,...,0,...,2020/4/2
23,1008.6,1018.7,19.7,15.8,78,0.5,330,3.7,340,1.5,0.2,...,0,6,0,10,2020/4/2
24,1008.5,1018.6,19.8,16.4,81,0.9,310,2.7,350,2,0.7,...,0,...,0,...,2020/4/2
1,1007.7,1017.8,19.1,15.6,80,2.1,340,5.5,350,0,0,...,0,...,0,...,2020/4/3
2,1007,1017.1,19,15.5,80,1.5,350,5.8,340,0,0,...,0,12,0,10,2020/4/3
3,1006.4,1016.5,19.3,15.6,79,0.6,300,2.8,350,0,0,...,0,...,0,...,2020/4/3
4,1006.6,1016.7,19.4,15.6,79,1.2,350,3.5,350,0,0,...,0,...,0,...,2020/4/3
5,1006.9,1017,19.1,15.6,80,0.6,330,3.4,330,0,0,...,0,10,0,9,2020/4/3
6,1007.5,1017.6,19.2,15.4,79,0.9,320,4.3,310,0,0,0,0,...,0,...,2020/4/3
7,1008.5,1018.6,19.4,15.6,79,1.1,350,3.1,350,0,0,0,0,...,0,...,2020/4/3
8,1008.4,1018.5,20.1,16,77,1.3,360,3.7,350,0,0,0,0.27,10,0,8,2020/4/3
9,1008.1,1018.1,22.4,17.5,74,0.2,0,3,360,0,0,0.3,1.24,12,1,8,2020/4/3
10,1007.3,1017.2,24.1,18.2,70,0.8,180,2.2,170,0,0,0.9,2.1,...,3,...,2020/4/3
11,1006.7,1016.6,25.9,18.5,64,0.3,90,2.9,210,0,0,1,2.49,12,4,2,2020/4/3
12,1006.3,1016.1,27,19.3,63,1.9,230,5.2,240,0,0,0.8,2.57,...,5,...,2020/4/3
13,1006.1,1015.9,26.2,19.1,65,1.9,320,5.3,320,0,0,0.9,2.8,...,5,...,2020/4/3
14,1005.7,1015.6,23.9,17.9,69,1.7,310,7.4,300,0,0,0,1.26,10,3,10,2020/4/3
15,1005.4,1015.3,23,17.3,70,2.8,340,7,330,0,0,0,0.76,...,1,...,2020/4/3
16,1005.6,1015.6,22.3,16.9,71,2.9,350,7.5,350,0,0,0,0.6,...,1,...,2020/4/3
17,1006.2,1016.2,21.7,16.6,73,2,350,6.9,360,0,0,0,0.11,10,0,10,2020/4/3
18,1006.8,1016.8,21.2,16.2,73,1.4,340,6.8,10,0,0,0,0,...,0,...,2020/4/3
19,1007.5,1017.6,20.4,15.7,74,2.7,350,5.7,10,0,0,0,0,...,0,...,2020/4/3
20,1008,1018.1,20.3,15.6,74,2.4,350,6,330,0,0,...,0,10,0,10,2020/4/3
21,1008.4,1018.5,20.5,15.5,73,2.7,360,6.3,350,0,0,...,0,10,0,9,2020/4/3
22,1008.2,1018.3,20.5,15.4,73,0.9,300,5.2,20,0,0,...,0,...,0,...,2020/4/3
23,1008,1018.1,20.4,15.4,73,1.2,320,3.2,340,0,0,...,0,10,0,9,2020/4/3
24,1007.8,1017.9,20.1,15.3,74,0.5,320,4.2,350,0,0,...,0,...,0,...,2020/4/3
1,1007.4,1017.5,19.9,15.1,74,1.5,320,3.2,350,0,0,...,0,...,0,...,2020/4/4
2,1006.7,1016.8,19.3,14.7,75,1.1,330,3.7,340,0,0,...,0,10,0,9,2020/4/4
3,1005.9,1016,19.8,15,74,0.4,120,3.3,10,0,0,...,0,...,0,...,2020/4/4
4,1006.2,1016.3,19.3,14.6,74,2.2,360,5,310,0,0,...,0,...,0,...,2020/4/4
5,1006,1016.1,19.2,14.6,75,1.7,340,4.1,360,0,0,...,0,10,0,9,2020/4/4
6,1006.9,1017,18.9,14.5,76,2.3,330,8.1,320,0,0,0,0,...,0,...,2020/4/4
7,1007.4,1017.5,19.7,14.7,73,2.7,10,8.8,360,0,0,0,0.28,...,0,...,2020/4/4
8,1008.3,1018.4,20.7,15,70,2.2,360,7.2,20,0,0,0.3,0.66,12,1,9,2020/4/4
9,1008.4,1018.4,22.2,15.7,67,1.1,300,5.2,10,0,0,0.1,1.08,15,2,9,2020/4/4
10,1008.1,1018.1,22.3,16,68,1.4,340,4.5,350,0,0,0,1.29,...,3,...,2020/4/4
11,1007.6,1017.5,23.8,16.5,64,2.5,340,6.1,340,0,0,0.6,2.23,18,5,7,2020/4/4
12,1007.8,1017.7,23.7,16,62,2.5,330,7.5,350,0,0,0.1,1.36,...,4,...,2020/4/4
13,1007.2,1017.2,22.9,15.9,65,3.8,330,8.8,340,0,0,0.1,1.54,...,4,...,2020/4/4
14,1006.2,1016.1,23.9,16.3,62,2.8,330,9.2,360,0,0,0.7,2.51,12,6,7,2020/4/4
15,1006.3,1016.3,22.8,15.7,64,1.9,310,7.3,330,0,0,0.3,1.74,...,3,...,2020/4/4
16,1006.4,1016.4,21.9,15.1,65,3,340,7,350,0,0,0,0.98,...,1,...,2020/4/4
17,1006.7,1016.8,20.3,14.1,68,3.6,360,10.5,310,0,0,0,0.39,12,0,9,2020/4/4
18,1007.1,1017.2,20.2,13.9,67,2.7,350,8.9,350,0,0,0,0.16,...,0,...,2020/4/4
19,1007.7,1017.8,20,13.8,67,2.1,340,5.8,350,0,0,0,0,...,0,...,2020/4/4
20,1007.9,1018,18.8,13.1,69,2.8,350,7.7,350,0,0,...,0,12,0,3,2020/4/4
21,1009.1,1019.2,18.6,12.9,69,3.5,350,7.7,10,0,0,...,0,12,0,8,2020/4/4
22,1008.6,1018.7,18.5,12.7,69,2.7,350,7,350,0,0,...,0,...,0,...,2020/4/4
23,1008.4,1018.5,18.2,12.3,68,2.3,350,6.6,350,0,0,...,0,12,0,5,2020/4/4
24,1008.1,1018.2,18.1,12.1,68,2.1,350,6.1,10,0,0,...,0,...,0,...,2020/4/4
1,1007.8,1017.9,18,11.9,68,1.9,340,6,330,0,0,...,0,...,0,...,2020/4/5
2,1007.6,1017.7,17.9,11.7,67,2,330,5.1,10,0,0,...,0,12,0,8,2020/4/5
3,1007.3,1017.4,18.1,11.8,67,2,10,6,360,0,0,...,0,...,0,...,2020/4/5
4,1007.1,1017.2,17.9,11.5,66,1.3,340,5,350,0,0,...,0,...,0,...,2020/4/5
5,1007.1,1017.3,17.6,11.3,67,1.2,350,3.7,330,0,0,...,0,12,0,8,2020/4/5
6,1007.8,1017.9,17.9,11.4,66,1.1,340,5.2,350,0,0,0,0,...,0,...,2020/4/5
7,1008,1018.1,18.4,11.8,65,0.9,340,4.3,20,0,0,0.1,0.06,...,0,...,2020/4/5
8,1008.3,1018.4,19.5,12.5,64,1.3,20,4.7,330,0,0,0.2,0.65,15,1,7,2020/4/5
9,1008.8,1018.8,21.4,14.2,64,1.1,320,4,350,0,0,0.6,1.4,15,2,8,2020/4/5
10,1009.1,1019.1,21.4,13.7,61,2.3,340,4.6,360,0,0,0,1.21,...,2,...,2020/4/5
11,1009,1019,21.2,13.5,61,2,340,5.5,330,0,0,0,1.14,15,3,10,2020/4/5
12,1008.6,1018.6,21.3,13.5,61,1.2,320,5.8,360,0,0,0,0.65,...,2,...,2020/4/5
13,1008.7,1018.8,20.4,12.8,62,2.7,360,5.9,340,0,0,0,0.53,...,1,...,2020/4/5
14,1007.8,1017.9,20.4,12.6,61,2.7,350,7.7,10,0,0,0,0.41,15,1,10,2020/4/5
15,1007.2,1017.3,20.1,12.8,63,3.3,10,6.3,360,0,0,0,0.34,...,1,...,2020/4/5
16,1006.5,1016.6,19.1,13.6,70,1.1,30,5,10,T,0.8,0,0,...,0,...,2020/4/5
17,1007.6,1017.8,17.2,14.6,85,2.4,350,5.6,310,0.5,1,0,0,10,0,10,2020/4/5
18,1007.9,1018.1,16.2,14.3,89,2,350,6.7,320,1.5,1,0,0,...,0,...,2020/4/5
19,1008.2,1018.4,16.7,15.1,90,0.8,240,4.8,10,T,1,0,0,...,0,...,2020/4/5
20,1008.9,1019.1,16.7,14.9,89,1.4,350,3.3,360,0.5,1,...,0,10,0,10,2020/4/5
21,1008.6,1018.8,16.6,14.9,90,0.7,10,5.6,10,T,1,...,0,10,0,10,2020/4/5
22,1009.3,1019.5,16.6,14.7,89,2.7,350,6,350,T,0.1,...,0,...,0,...,2020/4/5
23,1008.4,1018.6,16.4,14.6,89,0.6,10,5.8,350,0,0,...,0,10,0,10,2020/4/5
24,1008.6,1018.8,16.1,14,87,1.1,360,4.8,350,0,0,...,0,...,0,...,2020/4/5
1,1007.8,1018,16.7,14.3,86,0.9,320,2.4,290,0,0,...,0,...,0,...,2020/4/6
2,1006.9,1017.1,16.5,14.2,86,1.7,350,3.1,320,0,0,...,0,12,0,10,2020/4/6
3,1006.2,1016.4,16.4,14.2,87,0.3,10,4.3,340,0,0,...,0,...,0,...,2020/4/6
4,1007.4,1017.6,16.4,13.9,85,1.9,340,5.4,320,0,0,...,0,...,0,...,2020/4/6
5,1006.2,1016.4,16.4,14.2,87,0.3,50,5.8,350,T,0.2,...,0,15,0,10,2020/4/6
6,1006.9,1017.1,16.7,14.3,86,0.5,360,2.6,260,0,0,0,0,...,0,...,2020/4/6
7,1007.6,1017.8,16.9,13.9,82,0.6,20,3,320,0,0,0,0,...,0,...,2020/4/6
8,1007.7,1017.9,17.5,14.3,81,0.8,330,2.7,340,0,0,0,0,15,0,10,2020/4/6
9,1008,1018.1,17.9,14.7,82,0.7,20,4.3,340,0,0,0,0.12,18,1,10,2020/4/6
10,1007.7,1017.8,19.2,15.6,80,0.2,0,1.7,170,0,0,0,0.42,...,1,...,2020/4/6
11,1007.3,1017.3,21,16.7,76,0.4,40,2.1,260,0,0,0,1.48,18,3,10,2020/4/6
12,1007,1017.1,20.4,16.1,76,2,350,4.4,330,T,0.3,0,0.89,...,3,...,2020/4/6
13,1006.2,1016.2,20.3,16.3,78,1.8,350,5.3,340,T,0.7,0,0.8,...,3,...,2020/4/6
14,1005.3,1015.3,20.3,16,76,1.6,340,6,360,0,0,0,0.6,18,2,10,2020/4/6
15,1004.6,1014.6,19.9,16.4,80,2.5,350,5.4,320,T,0.8,0,0.49,...,1,...,2020/4/6
16,1003.7,1013.7,19.6,16.7,83,0.7,30,5.2,350,T,1,0,0,...,0,...,2020/4/6
17,1004.4,1014.5,18.3,16.2,88,1.9,350,4.7,330,1,1,0,0,8,0,10,2020/4/6
18,1004.8,1014.9,18.1,16.4,90,1.3,350,4.1,340,2.5,1,0,0,...,0,...,2020/4/6
19,1005,1015.1,17.9,16.6,92,0.1,0,3,360,2,1,0,0,...,0,...,2020/4/6
20,1006.1,1016.2,18.2,17,93,0.4,330,1.5,250,1,1,...,0,8,0,10,2020/4/6
21,1006.6,1016.7,18.2,17,93,0.2,0,2.4,350,0.5,1,...,0,8,0,10,2020/4/6
22,1005.7,1015.8,17.9,16.9,94,0.1,0,2,300,1,1,...,0,...,0,...,2020/4/6
23,1006,1016.1,18,17,94,0,0,1.4,240,1,1,...,0,6,0,10,2020/4/6
24,1005.6,1015.7,17.8,16.8,94,1,360,3.4,300,2,1,...,0,...,0,...,2020/4/6
1,1004.9,1015,17.5,16.3,93,1.4,340,4.2,330,2,1,...,0,...,0,...,2020/4/7
2,1004.4,1014.5,17.6,16.4,93,1,300,4.1,330,1,1,...,0,8,0,10,2020/4/7
3,1004.3,1014.4,17.3,16,92,1.8,360,4.1,340,2,1,...,0,...,0,...,2020/4/7
4,1003.2,1013.3,17.7,16.5,93,0.9,280,4.7,350,T,1,...,0,...,0,...,2020/4/7
5,1003.3,1013.4,16.7,15.6,93,1.3,330,6.6,340,0.5,0.5,...,0,10,0,10,2020/4/7
6,1003.9,1014,16.7,15.3,91,2.5,350,7.4,340,T,0.2,0,0,...,0,...,2020/4/7
7,1004.9,1015.1,16.8,15.3,91,2.7,10,6.8,360,0,0,0.2,0.11,...,0,...,2020/4/7
8,1005.1,1015.2,18.1,16.2,89,2.4,10,7.2,20,0,0,0.8,0.84,20,1,8,2020/4/7
9,1005.4,1015.4,20,16.8,82,1.5,340,5.4,340,0,0,0.3,1.35,20,2,6,2020/4/7
10,1005.1,1015.1,21.8,17.7,78,2.1,340,5.4,330,0,0,1,2.65,...,5,...,2020/4/7
11,1005,1015,22.2,17.3,74,2.9,330,6.7,350,0,0,1,3,20,7,0,2020/4/7
12,1004.5,1014.4,23.3,17.6,70,2.2,320,8,10,0,0,1,3.38,...,8,...,2020/4/7
13,1003.9,1013.8,23.5,17.7,70,2.5,330,7.2,20,0,0,1,3.39,...,8,...,2020/4/7
14,1003.2,1013.1,22.8,17.1,70,2,320,6.6,340,0,0,0.9,2.85,20,6,2,2020/4/7
15,1002.7,1012.6,22.6,16.9,70,2.7,330,7.6,10,0,0,0.5,2.04,...,4,...,2020/4/7
16,1003,1013,20.9,15.9,73,3,330,9,320,0,0,0.8,1.56,...,2,...,2020/4/7
17,1003.3,1013.3,19.7,15.1,75,3.5,340,7.9,360,0,0,0.3,0.63,20,1,8,2020/4/7
18,1003.8,1013.9,18.7,14.5,77,2.7,350,9.2,350,0,0,0.2,0.16,...,0,...,2020/4/7
19,1004.3,1014.4,18.3,14.4,78,1.8,350,6.1,310,0,0,0,0,...,0,...,2020/4/7
20,1005,1015.1,17.7,14.1,79,1.9,340,4.9,350,0,0,...,0,12,0,4,2020/4/7
21,1005.6,1015.7,17.7,14,79,1.6,340,5.2,350,0,0,...,0,12,0,5,2020/4/7
22,1005.8,1015.9,17.4,13.9,80,0.7,300,2.9,10,0,0,...,0,...,0,...,2020/4/7
23,1005.6,1015.7,17.2,14,81,0.8,290,2.7,20,0,0,...,0,12,0,0,2020/4/7
24,1005.6,1015.8,17,14,82,0.9,290,2.4,300,0,0,...,0,...,0,...,2020/4/7
1,1005,1015.2,16.3,13.5,83,0.6,310,2.9,330,0,0,...,0,...,0,...,2020/4/8
2,1004.9,1015.1,16.1,13.4,84,0.9,340,3.3,340,0,0,...,0,12,0,3,2020/4/8
3,1004.2,1014.4,16,13.3,84,0.3,310,3,10,0,0,...,0,...,0,...,2020/4/8
4,1004.1,1014.3,16.1,13.6,85,0.6,340,2.7,350,0,0,...,0,...,0,...,2020/4/8
5,1004.1,1014.3,16,13.5,85,0.2,0,2.7,340,0,0,...,0,12,0,8,2020/4/8
6,1004.7,1014.8,17,14.1,83,0.3,310,1.8,350,0,0,0,0,...,0,...,2020/4/8
7,1005,1015.1,17.6,14.4,82,0.4,360,2.2,330,0,0,0,0.01,...,0,...,2020/4/8
8,1005.7,1015.8,18.8,15.2,80,1.1,330,3.2,320,0,0,0.1,0.68,12,1,7,2020/4/8
9,1005.7,1015.7,20.7,16.4,76,1.1,310,2.8,330,0,0,0.8,1.58,12,2,3,2020/4/8
10,1005.9,1015.9,22.4,17.2,72,1.6,340,3.8,290,0,0,1,2.21,...,4,...,2020/4/8
11,1005.3,1015.2,24.4,18.4,69,1.2,10,3.9,340,0,0,1,2.86,12,6,6,2020/4/8
12,1004.6,1014.5,25.5,18.6,66,1.4,280,5,220,0,0,1,3,...,7,...,2020/4/8
13,1004.1,1013.9,26,18.6,64,1.8,340,4.5,360,0,0,0.8,2.84,...,6,...,2020/4/8
14,1003.7,1013.5,26.6,19.3,64,1.4,270,4.5,230,0,0,0.7,2.54,12,5,6,2020/4/8
15,1003.3,1013.1,26,18.5,63,1.2,330,5.4,340,0,0,0.6,1.84,...,3,...,2020/4/8
16,1003.3,1013.2,24.7,17.9,66,2,310,6.7,360,0,0,0.8,1.37,...,2,...,2020/4/8
17,1003.8,1013.7,23.8,17.3,67,1.5,340,6.1,350,0,0,0.8,0.81,12,1,6,2020/4/8
18,1004.7,1014.7,22.6,16.7,69,1.4,330,5.6,330,0,0,0,0.11,...,0,...,2020/4/8
19,1005.3,1015.3,22.2,16.8,71,1.1,300,4.5,330,0,0,0,0,...,0,...,2020/4/8
20,1006,1016,21.5,16.6,74,1.3,330,3.6,330,0,0,...,0,10,0,4,2020/4/8
21,1006.7,1016.7,21,16.5,75,1.1,310,3.5,340,0,0,...,0,12,0,7,2020/4/8
22,1006.9,1017,20.3,16.2,77,0.8,290,3,330,0,0,...,0,...,0,...,2020/4/8
23,1006.8,1016.9,20.3,16.3,78,0.9,320,3,340,0,0,...,0,12,0,9,2020/4/8
24,1006.4,1016.4,20.3,16.6,79,0.1,0,2,320,0,0,...,0,...,0,...,2020/4/8
1,1006.1,1016.1,20.5,16.4,77,0.3,320,1.9,240,0,0,...,0,...,0,...,2020/4/9
2,1005.7,1015.8,19.5,16.2,81,0,0,2.4,330,0,0,...,0,10,0,9,2020/4/9
3,1005.5,1015.6,19.8,16.3,80,0.7,330,1.9,10,0,0,...,0,...,0,...,2020/4/9
4,1005.8,1015.9,19.8,16.2,80,1.7,330,4.8,360,0,0,...,0,...,0,...,2020/4/9
5,1005.9,1016,19.3,15.8,80,1.1,10,3.8,340,0,0,...,0,12,0,8,2020/4/9
6,1006.2,1016.3,19.3,15.9,81,0.5,310,2.6,310,0,0,0,0,...,0,...,2020/4/9
7,1006.6,1016.7,19.6,16,80,0.8,360,3.6,340,0,0,0,0.17,...,0,...,2020/4/9
8,1007.2,1017.3,20.5,16.5,78,2.3,350,5.8,340,0,0,0.2,0.6,12,1,10,2020/4/9
9,1007.7,1017.7,21.6,16.9,75,2.4,360,5.5,350,0,0,0,0.6,12,1,10,2020/4/9
10,1007.4,1017.4,23.3,17.8,71,1.9,340,4.3,10,0,0,0.3,1.37,...,3,...,2020/4/9
11,1006.8,1016.7,25.8,18.2,63,1.9,340,4.5,20,0,0,1,2.83,15,6,3,2020/4/9
12,1006.1,1015.9,26.8,18.4,60,2.6,310,7.3,330,0,0,1,3.23,...,8,...,2020/4/9
13,1005.5,1015.3,26.8,16.5,53,3,320,7.9,350,0,0,1,3.58,...,8,...,2020/4/9
